n_feat,trn_grad,trn_data,Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.2665145735434383,0.15193375929389502,0.2650957290132548,0.5230579163031811,0.5563783829314639,0.2650957290132548,0.5504045854224411,0.2650957290132548,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.530325647368663,0.2453247437444644,0.5184094256259205,0.5085577613202742,0.5537355034897014,0.5184094256259205,0.5479266772922365,0.5184094256259205,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.5816780231236387,0.2065687121866897,0.7039764359351989,0.49422249684844327,0.5414076400108543,0.7039764359351989,0.49558282235202517,0.7039764359351989,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.05901627347487628,0.07888198757763976,0.187039764359352,0.4946382267481207,0.5440575918041384,0.187039764359352,0.03503547208501136,0.187039764359352,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.0024681634591136804,0.00881245423799728,0.007363770250368188,0.501496992530263,0.5435940339881067,0.007363770250368188,0.0064788405449412115,0.007363770250368188,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.37159600789051694,0.18806954799862602,0.3166421207658321,0.4895693182034877,0.5406504107164393,0.3166421207658321,0.5177413742727232,0.3166421207658321,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.46588296955718006,0.24102720000495537,0.4256259204712813,0.5264899597722666,0.5675152242663786,0.4256259204712813,0.5462636860764082,0.4256259204712813,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.40232261614121195,0.20509195276325776,0.3475699558173785,0.49021280794200023,0.5490797744930028,0.3475699558173785,0.5531819261675089,0.3475699558173785,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_44+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.19848151611068138,0.1439482081796018,0.1958762886597938,0.5125195981172475,0.5352328639754352,0.1958762886597938,0.5018610260883036,0.1958762886597938,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_45+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.27193932471649607,0.1771696600368825,0.25184094256259204,0.49425673850770163,0.5440516722178135,0.25184094256259204,0.5273413161077576,0.25184094256259204,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_43+multitask+tst.pkl
