data,task,seed,val/loss,ckpt_path,log_name,test/recon_MSE,test/recon_RMSE,test/recon_MAE,test/recon_PCC,test/label_MSE,test/label_RMSE,test/label_MAE,test/label_PCC,test/loss,test/loss_unweighted,val/loss_unweighted,val/recon_MSE,val/recon_RMSE,val/recon_MAE,val/recon_PCC,val/label_MSE,val/label_RMSE,val/label_MAE,val/label_PCC,test/label_F1_weighted,test/label_F1_macro,test/label_F1_micro,test/label_AUROC,test/label_Accuracy,test/label_Precision,test/label_Recall,val/label_F1_weighted,val/label_F1_macro,val/label_F1_micro,val/label_AUROC,val/label_Accuracy,val/label_Precision,val/label_Recall
sc_multiome_minmi0.35_top2000,focus_label,seed_43,0.0272629726678133,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_43/focus_label/DeepTAN_20250405174918_CSij8/best-model-epoch=0000-val_loss=0.0000.ckpt,DeepTAN_20250405174918_CSij8,2.3268396854400635,,1.3015270233154297,0.5928246378898621,,,,,0.025290394201874733,1.1816744804382324,1.1625378131866455,2.2861342430114746,,1.2967934608459473,0.5693811178207397,,,,,0.028195271268486977,0.03772376477718353,0.0538194440305233,0.7184925079345703,0.0538194440305233,0.021611828356981277,0.0538194440305233,0.028674772009253502,0.03871758282184601,0.053240738809108734,0.7107654809951782,0.053240738809108734,0.021217133849859238,0.053240738809108734
sc_multiome_minmi0.35_top2000,focus_recon,seed_43,0.37724044919013977,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_43/focus_recon/DeepTAN_20250418002242_9MqCi/best-model-epoch=0034-val_loss=0.0000.ckpt,DeepTAN_20250418002242_9MqCi,0.1261119395494461,0.3548256456851959,0.27031007409095764,0.877833902835846,,,,,0.16324730217456818,0.0952705591917038,0.20393113791942596,0.2246091663837433,0.4728098511695862,0.3616305887699127,0.8314489722251892,,,,,0.04666852578520775,0.03826773911714554,0.1440972238779068,0.510265588760376,0.1440972238779068,0.0285373255610466,0.1440972238779068,0.04715711995959282,0.03744716942310333,0.14293982088565826,0.46813610196113586,0.14293982088565826,0.029381267726421356,0.14293982088565826
sc_multiome_minmi0.35_top2000,multitask,seed_43,0.25038325786590576,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_multiome_minmi0.35_top2000/seed_43/multitask/DeepTAN_20250409085336_2hbeK/trial_0/best-model-epoch=0014-val_loss=0.0000.ckpt,DeepTAN_20250409085336_2hbeK,0.12952518463134766,0.35946449637413025,0.2760544419288635,0.8758886456489563,,,,,0.1974526345729828,0.09551867842674255,0.1534002274274826,0.24383491277694702,0.4886023700237274,0.3725842237472534,0.8361339569091797,,,,,0.17173577845096588,0.12162391096353531,0.1979166716337204,0.730819582939148,0.1979166716337204,0.24531418085098267,0.1979166716337204,0.0012254902394488454,0.0027168274391442537,0.010416666977107525,0.6590307950973511,0.010416666977107525,0.0006510416860692203,0.010416666977107525
sc_multiome_minmi0.35_top2000,multitask_noguide,seed_43,0.5148980021476746,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_43/multitask_noguide/DeepTAN_20250417031045_GoAdU/best-model-epoch=0022-val_loss=0.0000.ckpt,DeepTAN_20250417031045_GoAdU,0.13464902341365814,0.3666069805622101,0.27719438076019287,0.8739851713180542,,,,,0.1868126541376114,0.09730852395296097,0.2461380660533905,0.4076038897037506,0.6339403986930847,0.5132575631141663,0.8210642337799072,,,,,0.17387515306472778,0.1416172981262207,0.2239583283662796,0.717054009437561,0.2239583283662796,0.1858985871076584,0.2239583283662796,0.04900793358683586,0.04058566316962242,0.1371527761220932,0.47178828716278076,0.1371527761220932,0.03158967196941376,0.1371527761220932
sc_multiome_minmi0.35_top2000_eighth,multitask,seed_43,1.502591609954834,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_multiome_minmi0.35_top2000_eighth/seed_43/multitask/DeepTAN_20250419152215_nRUuM/best-model-epoch=0011-val_loss=0.0000.ckpt,DeepTAN_20250419152215_nRUuM,0.3066875636577606,0.5532023906707764,0.4435127377510071,0.8375341296195984,,,,,0.5559453368186951,0.2573714554309845,0.6394718289375305,0.6809327602386475,0.8156973719596863,0.6432799696922302,0.6765207648277283,,,,,0.12003813683986664,0.09870579838752747,0.1840277761220932,0.7091966271400452,0.1840277761220932,0.11543987691402435,0.1840277761220932,0.0009317616350017488,0.0018380191177129745,0.0069444444961845875,0.5617404580116272,0.0069444444961845875,0.0004996089264750481,0.0069444444961845875
sc_multiome_minmi0.35_top2000_half,multitask,seed_43,0.9316437840461731,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_multiome_minmi0.35_top2000_half/seed_43/multitask/DeepTAN_20250419181704_a6hPE/best-model-epoch=0013-val_loss=0.0000.ckpt,DeepTAN_20250419181704_a6hPE,0.16913682222366333,0.4106946289539337,0.3100244104862213,0.8607168197631836,,,,,0.2370707392692566,0.11153990775346756,0.44437429308891296,0.5680819153785706,0.7499899864196777,0.6246178150177002,0.7653887867927551,,,,,0.1316777616739273,0.11277495324611664,0.1805555522441864,0.7220425009727478,0.1805555522441864,0.15386046469211578,0.1805555522441864,0.11361858248710632,0.061454448848962784,0.25,0.6054937839508057,0.25,0.0757378488779068,0.25
sc_multiome_minmi0.35_top2000_quarter,multitask,seed_43,1.2913590669631958,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_multiome_minmi0.35_top2000_quarter/seed_43/multitask/DeepTAN_20250420151820_Da6rY/best-model-epoch=0018-val_loss=0.0000.ckpt,DeepTAN_20250420151820_Da6rY,0.17927385866641998,0.42270228266716003,0.32469844818115234,0.8547917604446411,,,,,0.26322034001350403,0.11727026849985123,0.677096962928772,1.0980795621871948,1.0360498428344727,0.8527632355690002,0.7015219926834106,,,,,0.2920496463775635,0.1849726438522339,0.3246527910232544,0.7231383323669434,0.3246527910232544,0.2995494604110718,0.3246527910232544,0.0,0.0,0.0,0.43746674060821533,0.0,0.0,0.0
sc_rna_annotated_minmi0.1_top2000,focus_label,seed_43,0.03297768160700798,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_rna_annotated_minmi0.0_top2000/seed_43/focus_label/DeepTAN_20250410093821_gcB08/trial_2/best-model-epoch=0003-val_loss=0.0000.ckpt,DeepTAN_20250410093821_gcB08,0.5739752650260925,0.7543812990188599,0.609322190284729,-0.005324784200638533,,,,,0.016999252140522003,0.3393172025680542,0.3221436142921448,0.5207463502883911,0.719572126865387,0.5809167623519897,0.033640265464782715,,,,,0.278118759393692,0.19798849523067474,0.20348836481571198,0.66373211145401,0.20348836481571198,0.6245386600494385,0.20348836481571198,0.007831195369362831,0.009767008014023304,0.01308139506727457,0.6075906157493591,0.01308139506727457,0.013821116648614407,0.01308139506727457
sc_rna_annotated_minmi0.1_top2000,focus_recon,seed_43,0.43014851212501526,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_rna_annotated_minmi0.0_top2000/seed_43/focus_recon/DeepTAN_20250419012714_1vjao/best-model-epoch=0004-val_loss=0.0000.ckpt,DeepTAN_20250419012714_1vjao,,,,,,,,,,,0.24195820093154907,0.3518717885017395,0.5914597511291504,0.49020954966545105,0.578743040561676,,,,,,,,,,,,0.0,0.0,0.0,0.4585588574409485,0.0,0.0,0.0
sc_rna_annotated_minmi0.1_top2000,multitask,seed_43,0.3555379807949066,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_rna_annotated_minmi0.0_top2000/seed_43/multitask/DeepTAN_20250413135648_ryu5z/trial_0/best-model-epoch=0002-val_loss=0.0000.ckpt,DeepTAN_20250413135648_ryu5z,,,,,,,,,,,0.1914404034614563,0.2321396768093109,0.47950246930122375,0.3662447929382324,0.5941845774650574,,,,,,,,,,,,0.001329989405348897,0.004027967806905508,0.00872093066573143,0.5058537125587463,0.00872093066573143,0.0007267441833391786,0.00872093066573143
