Method,dataset,seed,Train size,Number of features for test,kBET,ASW (true labels),ASW (predicted labels),ARI,NMI
scGPT,snrna,42,5439,400,0.96759941089838,0.49145567,0.5051338,0.2903631643092999,0.29794936027144997
scGPT,snrna,42,5439,800,0.9646539027982327,0.4988585,0.50269645,0.2893163035999316,0.3000745837904324
scGPT,snrna,42,5439,1200,0.9631811487481591,0.49647135,0.50389415,0.2905919285670601,0.3006623445862702
scGPT,snrna,42,5439,1600,0.9705449189985272,0.4954783,0.5011907,0.2890399793060886,0.29755253590976516
scGPT,snrna,42,5439,2000,0.9631811487481591,0.49339083,0.50273764,0.28891574255589547,0.2962576103926115
scGPT,snrna,43,5439,400,0.9587628865979382,0.4942778,0.50295585,0.2899314768252495,0.2996606629722406
scGPT,snrna,43,5439,800,0.9558173784977909,0.48732278,0.50385594,0.2900771542419366,0.29862867094490647
scGPT,snrna,43,5439,1200,0.9646539027982327,0.49659932,0.5030312,0.2897026118374354,0.2971004898056355
scGPT,snrna,43,5439,1600,0.9690721649484536,0.49178067,0.5042713,0.289169294602316,0.29812424852409886
scGPT,snrna,43,5439,2000,0.9617083946980854,0.49104932,0.5039305,0.2905396995806956,0.3013060764875293
scGPT,snrna,44,5439,400,0.946980854197349,0.49661487,0.50336796,0.2904993959473724,0.2990364050704568
scGPT,snrna,44,5439,800,0.9572901325478645,0.49516627,0.50183594,0.2907194778024958,0.2985111867642968
scGPT,snrna,44,5439,1200,0.9587628865979382,0.49314874,0.5031388,0.29031886839482973,0.2977350326872334
scGPT,snrna,44,5439,1600,0.9543446244477173,0.49669006,0.50282043,0.2897913358098083,0.2989782725851562
scGPT,snrna,44,5439,2000,0.9734904270986745,0.49157947,0.50203663,0.2902788056745565,0.2999965560782877
scGPT,snrna,45,5439,400,0.9499263622974963,0.49669713,0.5043369,0.2894622647147382,0.29795093551582436
scGPT,snrna,45,5439,800,0.9587628865979382,0.49483982,0.50496095,0.28909117738323153,0.2997219506439198
scGPT,snrna,45,5439,1200,0.9513991163475699,0.4962359,0.50423694,0.2896342923650426,0.29753719861485983
scGPT,snrna,45,5439,1600,0.9543446244477173,0.4971907,0.502595,0.2897977850093174,0.29806810516368437
scGPT,snrna,45,5439,2000,0.9631811487481591,0.49552006,0.5022636,0.28999322471818084,0.29687651510511887
scGPT,snrna,46,5439,400,0.9293078055964654,0.48401514,0.5052821,0.2910427593098547,0.29743404540405455
scGPT,snrna,46,5439,800,0.9646539027982327,0.4946048,0.502625,0.2902273513435964,0.2976777717881629
scGPT,snrna,46,5439,1200,0.9543446244477173,0.4911981,0.5023399,0.29069133263093133,0.29917634872202126
scGPT,snrna,46,5439,1600,0.96759941089838,0.49589914,0.5025978,0.2891505170564797,0.29777650814147877
scGPT,snrna,46,5439,2000,0.9690721649484536,0.49019524,0.50373846,0.2894408926276,0.29774176111644846
scGPT,snrna,42,2720,400,0.9499263622974963,0.49279395,0.5041556,0.29032360738517765,0.2982880891145732
scGPT,snrna,42,2720,800,0.9572901325478645,0.49396253,0.5031416,0.29089902931333966,0.29850489263733565
scGPT,snrna,42,2720,1200,0.9499263622974963,0.4936168,0.5028576,0.2901097081008695,0.2982222377821991
scGPT,snrna,42,2720,1600,0.9425625920471281,0.49183252,0.50177425,0.2892224454199322,0.2995217140844268
scGPT,snrna,42,2720,2000,0.9558173784977909,0.49901524,0.50108624,0.28969055487760964,0.2997205935663306
scGPT,snrna,43,2720,400,0.9646539027982327,0.48574656,0.501575,0.2892933757128178,0.29674884540173224
scGPT,snrna,43,2720,800,0.9602356406480118,0.49465558,0.5025252,0.29043279675259775,0.2983358056710185
scGPT,snrna,43,2720,1200,0.9558173784977909,0.49324414,0.5034111,0.2894318874984739,0.29816536345399136
scGPT,snrna,43,2720,1600,0.9631811487481591,0.49324992,0.5023694,0.28960344993173887,0.2979350770359502
scGPT,snrna,43,2720,2000,0.9720176730486009,0.4937006,0.5016253,0.2916579674668677,0.2980028453174883
scGPT,snrna,44,2720,400,0.9631811487481591,0.49292067,0.50232863,0.29008625500969365,0.29638669979645893
scGPT,snrna,44,2720,800,0.9631811487481591,0.4952904,0.5023455,0.2896562453387981,0.297413972046836
scGPT,snrna,44,2720,1200,0.9543446244477173,0.4949944,0.50201374,0.290955508689743,0.2982603676456376
scGPT,snrna,44,2720,1600,0.9587628865979382,0.49225157,0.50170106,0.2890158912026278,0.29725140869459776
scGPT,snrna,44,2720,2000,0.9558173784977909,0.4933696,0.5022703,0.290009412698937,0.2978809149010921
scGPT,snrna,45,2720,400,0.9513991163475699,0.4955851,0.5030703,0.2889233944508282,0.29877541101143074
scGPT,snrna,45,2720,800,0.9720176730486009,0.494584,0.50294745,0.29010093081213684,0.2974371962875217
scGPT,snrna,45,2720,1200,0.9543446244477173,0.4976797,0.5009751,0.2898986110133535,0.29839579737570565
scGPT,snrna,45,2720,1600,0.9617083946980854,0.4949869,0.50387883,0.29143520408685963,0.29785552094662776
scGPT,snrna,45,2720,2000,0.9646539027982327,0.4938472,0.5022788,0.2901973140746118,0.29732253865386193
scGPT,snrna,46,2720,400,0.9646539027982327,0.49517763,0.5011279,0.2901930833333027,0.2967172318320086
scGPT,snrna,46,2720,800,0.9602356406480118,0.49586034,0.5017914,0.29018252822081025,0.29822250787359417
scGPT,snrna,46,2720,1200,0.9690721649484536,0.49462155,0.5002429,0.29056712268597795,0.29986752184230764
scGPT,snrna,46,2720,1600,0.96759941089838,0.49499783,0.50191146,0.290163819170182,0.29821169606628045
scGPT,snrna,46,2720,2000,0.96759941089838,0.49023038,0.50208914,0.29073087926047814,0.2988325670660336
scGPT,snrna,42,1359,400,0.9440353460972017,0.49565637,0.5035182,0.2900813204863495,0.29853305785572165
scGPT,snrna,42,1359,800,0.9646539027982327,0.4873767,0.5015636,0.2900901364972362,0.2991144672113345
scGPT,snrna,42,1359,1200,0.9499263622974963,0.49526158,0.50414056,0.29027586573240644,0.29726205405176276
scGPT,snrna,42,1359,1600,0.9720176730486009,0.49744377,0.50185174,0.289402134591351,0.2985919250970597
scGPT,snrna,42,1359,2000,0.9749631811487481,0.49426582,0.5038029,0.2905023188505519,0.2976990835707027
scGPT,snrna,43,1359,400,0.96759941089838,0.49665862,0.5023549,0.29006521537568336,0.2971993491090484
scGPT,snrna,43,1359,800,0.9366715758468336,0.4903917,0.5024987,0.28881874590238443,0.298045989525463
scGPT,snrna,43,1359,1200,0.9690721649484536,0.49209023,0.50081724,0.28899968441870005,0.29826162453448934
scGPT,snrna,43,1359,1600,0.96759941089838,0.49143076,0.5033511,0.29021342515768983,0.2986871024772101
scGPT,snrna,43,1359,2000,0.9631811487481591,0.48620152,0.501868,0.29008326220634906,0.2988352719151255
scGPT,snrna,44,1359,400,0.9513991163475699,0.49263614,0.5029812,0.2899148377857709,0.2984672567466502
scGPT,snrna,44,1359,800,0.9631811487481591,0.4866857,0.5017392,0.28956191553644406,0.29805836844477185
scGPT,snrna,44,1359,1200,0.96759941089838,0.48870197,0.5021833,0.28916078934913,0.29708284690845277
scGPT,snrna,44,1359,1600,0.9646539027982327,0.49434257,0.50231475,0.2901304111777579,0.29712425725437963
scGPT,snrna,44,1359,2000,0.9455081001472754,0.49316353,0.50219774,0.2897204088071738,0.2981918033017763
scGPT,snrna,45,1359,400,0.9734904270986745,0.48815066,0.5030569,0.2889984432560131,0.2987237778713471
scGPT,snrna,45,1359,800,0.9617083946980854,0.49415696,0.5025581,0.289357391494668,0.2999049781461933
scGPT,snrna,45,1359,1200,0.9690721649484536,0.49177498,0.5024493,0.28987438411840033,0.2977968618481387
scGPT,snrna,45,1359,1600,0.9425625920471281,0.49320343,0.5014311,0.2907289624981385,0.2996174241097639
scGPT,snrna,45,1359,2000,0.9558173784977909,0.494554,0.5028251,0.28978141230003673,0.29828092921010185
scGPT,snrna,46,1359,400,0.9631811487481591,0.49335423,0.5043767,0.2899949307980805,0.2977849253311512
scGPT,snrna,46,1359,800,0.9631811487481591,0.4957869,0.5031551,0.29118733761045723,0.2990553193243326
scGPT,snrna,46,1359,1200,0.9617083946980854,0.48605216,0.50218254,0.2891569893425575,0.2969425025353051
scGPT,snrna,46,1359,1600,0.9661266568483063,0.4873118,0.50254273,0.2899503143977713,0.2991602574222252
