method,dataset,seed,train_size,n_feat,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden
scGPT,scmul,42,4560,400,0.9343971631205674,0.4718199,0.5087717,0.0044458910312173165,0.046468733618652606,0.0019442619682457792,0.0044458910312173165,0.046468733618652606,0.0019442619682457792
scGPT,scmul,42,4560,800,0.9539007092198581,0.46668583,0.50540036,-0.00012776059819939476,0.042009877442729694,-0.0068928539449037585,-0.00012776059819939476,0.042009877442729694,-0.0068928539449037585
scGPT,scmul,42,4560,1200,0.9024822695035462,0.4726871,0.5073575,0.0042802607706724,0.04106421537785131,0.0013791798190224138,0.0042802607706724,0.04106421537785131,0.0013791798190224138
scGPT,scmul,42,4560,1600,0.9680851063829787,0.47171766,0.50699806,-0.00430235012524463,0.04544077469967028,0.0010921884523336547,-0.00430235012524463,0.04544077469967028,0.0010921884523336547
scGPT,scmul,42,4560,2000,0.9397163120567376,0.4713477,0.50751615,0.0021206552505145526,0.03947571251859101,-0.005077253152012796,0.0021206552505145526,0.03947571251859101,-0.005077253152012796
scGPT,scmul,43,4560,400,0.9592198581560284,0.4686057,0.5048639,0.0008598671745943906,0.054446092691287806,0.006325604522653121,0.0008598671745943906,0.054446092691287806,0.006325604522653121
scGPT,scmul,43,4560,800,0.9609929078014184,0.47682264,0.50498986,-0.003659782152913038,0.03902732348743306,-0.0005495549205454441,-0.003659782152913038,0.03902732348743306,-0.0005495549205454441
scGPT,scmul,43,4560,1200,0.950354609929078,0.4670723,0.5046467,0.0004276336383160282,0.05156450020212732,0.007452904497227924,0.0004276336383160282,0.05156450020212732,0.007452904497227924
scGPT,scmul,43,4560,1600,0.9308510638297872,0.46692923,0.5047266,0.0008561128263305347,0.04744151665378015,-0.0012520505085802129,0.0008561128263305347,0.04744151665378015,-0.0012520505085802129
scGPT,scmul,43,4560,2000,0.9450354609929078,0.4704463,0.5045677,0.0031416337787634305,0.04626110093159912,0.0019523917467405526,0.0031416337787634305,0.04626110093159912,0.0019523917467405526
scGPT,scmul,44,4560,400,0.975177304964539,0.4620595,0.5045829,0.0008830226512491928,0.04842847403672126,0.00008275763281956463,0.0008830226512491928,0.04842847403672126,0.00008275763281956463
scGPT,scmul,44,4560,800,0.9716312056737588,0.46829757,0.50945073,0.0007736898952951263,0.03623288592432656,0.0010031076775447259,0.0007736898952951263,0.03623288592432656,0.0010031076775447259
scGPT,scmul,44,4560,1200,0.9414893617021277,0.46181473,0.5059896,-0.00368927506100409,0.03575604146569917,-0.00439008430684655,-0.00368927506100409,0.03575604146569917,-0.00439008430684655
scGPT,scmul,44,4560,1600,0.9273049645390071,0.46970126,0.5057104,-0.0017851954649881047,0.03643712625364076,-0.0035978806784209777,-0.0017851954649881047,0.03643712625364076,-0.0035978806784209777
scGPT,scmul,44,4560,2000,0.9237588652482269,0.47081214,0.5017176,0.0035282270665717144,0.047701659912244836,-0.00032488688414188176,0.0035282270665717144,0.047701659912244836,-0.00032488688414188176
scGPT,scmul,45,4560,400,0.9698581560283688,0.47305572,0.50862324,-0.0005802464256609142,0.03750195911394738,-0.002138176158281492,-0.0005802464256609142,0.03750195911394738,-0.002138176158281492
scGPT,scmul,45,4560,800,0.9539007092198581,0.46725312,0.5046476,0.00610942412587333,0.05119368737641563,-0.0012262185179632813,0.00610942412587333,0.05119368737641563,-0.0012262185179632813
scGPT,scmul,45,4560,1200,0.9361702127659575,0.4750324,0.50479347,0.012831838847991718,0.05500090081013817,0.006604999297579379,0.012831838847991718,0.05500090081013817,0.006604999297579379
scGPT,scmul,45,4560,1600,0.9308510638297872,0.47204977,0.50432926,0.0058050755267697665,0.045559080408672174,-0.002846802678664711,0.0058050755267697665,0.045559080408672174,-0.002846802678664711
scGPT,scmul,45,4560,2000,0.9680851063829787,0.47253042,0.50591546,0.002026035348243488,0.04278469299638739,-0.006138254895596103,0.002026035348243488,0.04278469299638739,-0.006138254895596103
scGPT,scmul,46,4560,400,0.9184397163120568,0.47569263,0.5077508,-0.0037097391211522363,0.052184509738772804,0.004010033041955812,-0.0037097391211522363,0.052184509738772804,0.004010033041955812
scGPT,scmul,46,4560,800,0.9432624113475178,0.47145736,0.5061603,-0.001709790660898301,0.048981373176867876,0.004719695987022043,-0.001709790660898301,0.048981373176867876,0.004719695987022043
scGPT,scmul,46,4560,1200,0.9219858156028369,0.4675196,0.5056087,-0.0014897951968366962,0.042259431699494705,-0.0022803855928910655,-0.0014897951968366962,0.042259431699494705,-0.0022803855928910655
scGPT,scmul,46,4560,1600,0.9663120567375887,0.46243674,0.5092956,-0.0020678059476811456,0.03354038353398718,-0.0015875012805867865,-0.0020678059476811456,0.03354038353398718,-0.0015875012805867865
scGPT,scmul,46,4560,2000,0.9663120567375887,0.45999128,0.5046607,0.0014800166633353673,0.044716895986848366,0.00045452960442574585,0.0014800166633353673,0.044716895986848366,0.00045452960442574585
scGPT,scmul,42,2280,400,0.9343971631205674,0.4765051,0.50243485,-0.0033095735973263235,0.0474550919367306,-0.005176592124606858,-0.0033095735973263235,0.0474550919367306,-0.005176592124606858
scGPT,scmul,42,2280,800,0.9450354609929078,0.47734362,0.5019364,-0.0009835424382749539,0.06326639382165805,0.004569242434624521,-0.0009835424382749539,0.06326639382165805,0.004569242434624521
scGPT,scmul,42,2280,1200,0.9397163120567376,0.4791486,0.50235945,-0.0028770966778378657,0.051524137259909106,-0.004779638461117445,-0.0028770966778378657,0.051524137259909106,-0.004779638461117445
scGPT,scmul,42,2280,1600,0.9804964539007093,0.4711597,0.5019911,0.0025831663014330725,0.0576697599864475,0.0019699752971297207,0.0025831663014330725,0.0576697599864475,0.0019699752971297207
scGPT,scmul,42,2280,2000,0.9343971631205674,0.47809845,0.50221777,0.0003440157116449821,0.062436868449323786,0.0028946962882588872,0.0003440157116449821,0.062436868449323786,0.0028946962882588872
scGPT,scmul,43,2280,400,0.8670212765957447,0.48072338,0.504136,-0.001606702013701787,0.04361941453295359,-0.005330900718448259,-0.001606702013701787,0.04361941453295359,-0.005330900718448259
scGPT,scmul,43,2280,800,0.9663120567375887,0.48031357,0.5028522,-0.002310971586323791,0.04716976761196006,-0.0015695364401810724,-0.002310971586323791,0.04716976761196006,-0.0015695364401810724
scGPT,scmul,43,2280,1200,0.9308510638297872,0.47400644,0.50041,-0.0020790728843940115,0.049111768876191744,-0.0033889331322069353,-0.0020790728843940115,0.049111768876191744,-0.0033889331322069353
scGPT,scmul,43,2280,1600,0.9468085106382979,0.47934946,0.5029697,0.002636796145450131,0.06594439128479283,-0.0005357243730979147,0.002636796145450131,0.06594439128479283,-0.0005357243730979147
scGPT,scmul,43,2280,2000,0.9574468085106383,0.4750834,0.5025065,0.0006360119704760935,0.06967904777062522,0.0034764228991461263,0.0006360119704760935,0.06967904777062522,0.0034764228991461263
scGPT,scmul,44,2280,400,0.9379432624113475,0.47354892,0.5036161,-0.0032144785196349087,0.05471362089238376,-0.001624429046443089,-0.0032144785196349087,0.05471362089238376,-0.001624429046443089
scGPT,scmul,44,2280,800,0.9237588652482269,0.47902003,0.50215423,-0.004186287936733019,0.057852955801263276,-0.005788747796597568,-0.004186287936733019,0.057852955801263276,-0.005788747796597568
scGPT,scmul,44,2280,1200,0.8971631205673759,0.47514713,0.5032725,0.002406733608168017,0.059602992143475725,0.003703748714812683,0.002406733608168017,0.059602992143475725,0.003703748714812683
scGPT,scmul,44,2280,1600,0.9485815602836879,0.4716795,0.5031463,-0.0019891016636440595,0.055335298477910876,-0.0011016537377080253,-0.0019891016636440595,0.055335298477910876,-0.0011016537377080253
scGPT,scmul,44,2280,2000,0.9379432624113475,0.47521013,0.50232005,0.002821044871758565,0.052916065818567094,-0.0033970447011154653,0.002821044871758565,0.052916065818567094,-0.0033970447011154653
scGPT,scmul,45,2280,400,0.9663120567375887,0.47479853,0.5044699,0.006818495486566751,0.056753475284405275,0.004419142400700083,0.006818495486566751,0.056753475284405275,0.004419142400700083
scGPT,scmul,45,2280,800,0.9521276595744681,0.47329873,0.5019757,0.0017900368218414274,0.05769431702490951,-0.0022639280058585356,0.0017900368218414274,0.05769431702490951,-0.0022639280058585356
scGPT,scmul,45,2280,1200,0.8546099290780141,0.46804345,0.5016949,-0.0011301091089122035,0.06138131001586203,0.001589108245824711,-0.0011301091089122035,0.06138131001586203,0.001589108245824711
scGPT,scmul,45,2280,1600,0.9379432624113475,0.4727024,0.5021601,0.0038195669358302266,0.05248228777624467,-0.004045705407938422,0.0038195669358302266,0.05248228777624467,-0.004045705407938422
scGPT,scmul,45,2280,2000,0.9804964539007093,0.47681138,0.50331634,-0.002705360348431596,0.04910253359641175,-0.0035652442925058906,-0.002705360348431596,0.04910253359641175,-0.0035652442925058906
scGPT,scmul,46,2280,400,0.9680851063829787,0.47894862,0.5035815,-0.0032083198006801496,0.04777237165278608,-0.0050483302223489615,-0.0032083198006801496,0.04777237165278608,-0.0050483302223489615
scGPT,scmul,46,2280,800,0.9716312056737588,0.4808532,0.5014993,0.0021859733093270396,0.05667903806228856,0.004495977829012562,0.0021859733093270396,0.05667903806228856,0.004495977829012562
scGPT,scmul,46,2280,1200,0.9609929078014184,0.480288,0.50298774,0.0031793875558516756,0.05882456745187565,0.006718676809864686,0.0031793875558516756,0.05882456745187565,0.006718676809864686
scGPT,scmul,46,2280,1600,0.9450354609929078,0.47717184,0.5030318,-0.004033283675175165,0.048026405628348284,-0.008615472661981831,-0.004033283675175165,0.048026405628348284,-0.008615472661981831
scGPT,scmul,46,2280,2000,0.9379432624113475,0.475443,0.50162894,-0.000614992543998962,0.048722434211081835,-0.003961471720971326,-0.000614992543998962,0.048722434211081835,-0.003961471720971326
scGPT,scmul,42,1136,400,0.925531914893617,0.4780141,0.5039334,0.004062407814352486,0.0624303662407161,0.006543937294072075,0.004062407814352486,0.0624303662407161,0.006543937294072075
scGPT,scmul,42,1136,800,0.9627659574468085,0.4745255,0.5042192,-0.0019633236883868465,0.04675434411390677,-0.0061165455897606285,-0.0019633236883868465,0.04675434411390677,-0.0061165455897606285
scGPT,scmul,42,1136,1200,0.9343971631205674,0.47506118,0.5024455,-0.0021744789122413446,0.05580463473307336,-0.0004997849266660444,-0.0021744789122413446,0.05580463473307336,-0.0004997849266660444
scGPT,scmul,42,1136,1600,0.9273049645390071,0.47407195,0.5028411,-0.003270478129002236,0.049044202668920234,-0.007518486191369213,-0.003270478129002236,0.049044202668920234,-0.007518486191369213
scGPT,scmul,42,1136,2000,0.9822695035460993,0.47487468,0.50295246,0.00543481656205599,0.061266768687880745,0.005456851158564072,0.00543481656205599,0.061266768687880745,0.005456851158564072
