n_feat,trn_grad,trn_data,Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.14335699957804748,0.04506324062135445,0.23404255319148937,0.5010399318459816,0.16781987877050777,0.23404255319148937,0.14730725549721396,0.23404255319148937,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.03535052252491107,0.016614745586708203,0.14184397163120568,0.5182828048070055,0.1718592838225177,0.14184397163120568,0.020191312687716113,0.14184397163120568,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.0630006654684014,0.030572679733004548,0.14893617021276595,0.5106108785969723,0.17174365345599288,0.14893617021276595,0.046834917760676026,0.14893617021276595,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_44+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.07109574567947098,0.02618809895633326,0.1524822695035461,0.531437026447493,0.181417507047084,0.1524822695035461,0.08472891213967486,0.1524822695035461,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_45+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.06982179846691279,0.03198109838610268,0.13652482269503546,0.5199123213715203,0.17729437728835473,0.13652482269503546,0.15035691893025566,0.13652482269503546,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_43+multitask+tst.pkl
800,1,sc_multiome_minmi0.35_top2000_eighth,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.035954813100814574,0.026348364279398764,0.13829787234042554,0.5084294977778459,0.1731374914231567,0.13829787234042554,0.028490474203865947,0.13829787234042554,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_eighth+top_800/preds+seed_42+multitask+tst.pkl
800,1,sc_multiome_minmi0.35_top2000_eighth,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.04140031389106319,0.020159791898922332,0.13652482269503546,0.5054386625012428,0.16709973741873038,0.13652482269503546,0.04810479561539501,0.13652482269503546,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_eighth+top_800/preds+seed_46+multitask+tst.pkl
800,1,sc_multiome_minmi0.35_top2000_eighth,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.06221059197862332,0.0301892571928673,0.14716312056737588,0.526641007133655,0.18338436684877601,0.14716312056737588,0.047217364376378204,0.14716312056737588,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_eighth+top_800/preds+seed_44+multitask+tst.pkl
800,1,sc_multiome_minmi0.35_top2000_eighth,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.10126646403242148,0.03466438323581181,0.17907801418439717,0.5318340557733433,0.19124867568366308,0.17907801418439717,0.0867592258684938,0.17907801418439717,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_eighth+top_800/preds+seed_45+multitask+tst.pkl
800,1,sc_multiome_minmi0.35_top2000_eighth,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.05036777063478349,0.027454279611162515,0.13652482269503546,0.5161787773846903,0.17545156931256906,0.13652482269503546,0.0382370792517228,0.13652482269503546,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_eighth+top_800/preds+seed_43+multitask+tst.pkl
