n_feat,trn_grad,trn_data,Method,Capability,fname,metric,sample_mean,feature_mean,seed,seed_num,task,split,path
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mse,0.4675842451455957,0.4675842451455956,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mae,0.36066363251322847,0.3606636325132283,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,jsd,0.06415793208763834,0.05247850931929905,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,pcc,-5.000408403641166e-6,0.0031835467466368238,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,spearman,0.0054609988148517094,0.001088683016034048,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mse,0.46731453553121755,0.46731453553121755,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mae,0.3651056601436948,0.36510566014369467,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,jsd,0.06266907073044177,0.05418833340694164,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,pcc,0.005811718699228445,-0.021359448337831446,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
800,4,sc_multiome_minmi0.35_top2000_half,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,spearman,-0.00330114373496883,-0.018854518580683606,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
