Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
DeepTAN,Labelling,preds+seed_42+multitask_noguide+trn.h5,0.05854363652836013,0.032550056907827314,0.1081140350877193,NaN,0.16198355108904242,0.1081140350877193,0.06163850204260883,0.10811403508771932,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+trn.h5
DeepTAN,Labelling,preds+seed_46+multitask+tst.h5,0.12283023386928785,0.05255182927166697,0.14184397163120568,NaN,0.17262306183459453,0.14184397163120568,0.1533940056262314,0.14184397163120568,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_46+multitask+tst.h5
DeepTAN,Labelling,preds+seed_44+multitask+tst.h5,0.10606117355983477,0.04935855772520421,0.13297872340425532,NaN,0.17071788748089853,0.13297872340425532,0.14367808847121993,0.13297872340425532,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask+tst.h5
DeepTAN,Labelling,preds+seed_42+focus_recon+val.h5,0.00009712509712509713,0.0009259259259259259,0.006993006993006993,NaN,0.1658548740403897,0.006993006993006993,0.000048902146804244705,0.006993006993006993,seed_42,42,focus_recon,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+val.h5
DeepTAN,Labelling,preds+seed_42+focus_label_on_focus_recon+tst.h5,0.00005628729032984352,0.0007054673721340387,0.005319148936170213,NaN,0.16307472644147952,0.005319148936170213,0.000028293345405160703,0.005319148936170213,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label_on_focus_recon+tst.h5
DeepTAN,Labelling,preds+seed_42+focus_recon+trn.h5,0.00009780548933308882,0.0009291521486643438,0.007017543859649123,NaN,0.15807957780366708,0.007017543859649123,0.00004924592182209911,0.007017543859649123,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+trn.h5
DeepTAN,Labelling,preds+seed_42+focus_recon+tst.h5,0.00005628729032984352,0.0007054673721340387,0.005319148936170213,NaN,0.16103868867172522,0.005319148936170213,0.000028293345405160703,0.005319148936170213,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+tst.h5
DeepTAN,Labelling,preds+seed_43+focus_recon+tst.h5,0.035240738293467244,0.016563146997929608,0.14184397163120568,NaN,0.16120165827697072,0.14184397163120568,0.02011971228811428,0.14184397163120568,seed_43,43,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+focus_recon+tst.h5
DeepTAN,Labelling,preds+seed_42+multitask_noguide+val.h5,0.05160327603100591,0.02957752096950559,0.0944055944055944,NaN,0.17198865488706605,0.0944055944055944,0.06134480416918162,0.0944055944055944,seed_42,42,multitask_noguide,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+val.h5
DeepTAN,Labelling,preds+seed_43+multitask+tst.h5,0.10976682399699308,0.04771358516762869,0.11879432624113476,NaN,0.19157874063744673,0.11879432624113476,0.21148014795848216,0.11879432624113476,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+multitask+tst.h5
DeepTAN,Labelling,preds+seed_42+focus_label+trn.h5,0.032905448055866184,0.0165454289436405,0.035964912280701755,NaN,0.16108326010297686,0.035964912280701755,0.03716844300065937,0.035964912280701755,seed_42,42,focus_label,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label+trn.h5
DeepTAN,Labelling,preds+seed_42+multitask_noguide+tst.h5,0.03280003540567154,0.016016640665626625,0.13652482269503546,NaN,0.166576806584592,0.13652482269503546,0.01863902721191087,0.13652482269503546,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+tst.h5
DeepTAN,Labelling,preds+seed_45+multitask+tst.h5,0.07773532898821843,0.0406539817971034,0.10815602836879433,NaN,0.17089712403543844,0.10815602836879433,0.08650198659138579,0.10815602836879433,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_45+multitask+tst.h5
DeepTAN,Labelling,preds+seed_42+multitask+tst.h5,0.06807400933363733,0.024973857224206655,0.14184397163120568,NaN,0.16337089534822943,0.14184397163120568,0.0651121916680906,0.14184397163120568,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask+tst.h5
DeepTAN,Labelling,preds+seed_43+multitask_noguide+tst.h5,0.059489497408471474,0.029596209979771623,0.10106382978723404,NaN,0.19225188680952152,0.10106382978723404,0.05590960153754534,0.10106382978723404,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+multitask_noguide+tst.h5
DeepTAN,Labelling,preds+seed_42+multitask+trn.h5,0.09347113438586312,0.04393489280857942,0.12171052631578948,NaN,0.16284665316673141,0.12171052631578948,0.14544891005461275,0.12171052631578948,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask+trn.h5
DeepTAN,Labelling,preds+seed_44+multitask_noguide+tst.h5,0.1271802354669096,0.04661992977782451,0.16666666666666666,NaN,0.1699539349628832,0.16666666666666666,0.11419244210409799,0.16666666666666666,seed_44,44,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask_noguide+tst.h5
DeepTAN,Labelling,preds+seed_43+focus_label+tst.h5,0.003192648217679507,0.0073347857661583155,0.015957446808510637,NaN,0.18505339430119078,0.015957446808510637,0.0018189778215342265,0.015957446808510637,seed_43,43,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+focus_label+tst.h5
DeepTAN,Labelling,preds+seed_42+multitask+val.h5,0.11412471532779388,0.05033910781424242,0.13111888111888112,NaN,0.17697112763206962,0.13111888111888112,0.19314421962333553,0.13111888111888112,seed_42,42,multitask,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask+val.h5
DeepTAN,Labelling,preds+seed_44+focus_recon+tst.h5,0.035240738293467244,0.016563146997929608,0.14184397163120568,NaN,0.16586477753685241,0.14184397163120568,0.02011971228811428,0.14184397163120568,seed_44,44,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+focus_recon+tst.h5
DeepTAN,Labelling,preds+seed_42+focus_label+tst.h5,0.00005628729032984352,0.0007054673721340387,0.005319148936170213,NaN,0.16707312615019407,0.005319148936170213,0.000028293345405160703,0.005319148936170213,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label+tst.h5
DeepTAN,Labelling,preds+seed_42+focus_label+val.h5,0.039513778125774224,0.020344512483100693,0.04195804195804196,NaN,0.1842036828476141,0.04195804195804196,0.046768001313455855,0.04195804195804196,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label+val.h5
DeepTAN,Labelling,preds+seed_42+multitask_new+tst.h5,0.06696752215564518,0.03607250760189295,0.09929078014184398,NaN,0.16701969852611864,0.09929078014184398,0.07273341783060641,0.09929078014184398,seed_42,42,multitask_new,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_new+tst.h5
