Method,Capability,fname,metric,sample_mean,feature_mean,seed,seed_num,task,split,path
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.h5,mse,0.6091967913185314,0.6091967913185327,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.h5,mae,0.41894387091127533,0.41894387091127566,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.h5,jsd,0.09448896347721479,0.06292275493499959,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.h5,pcc,0.003459174459748027,-0.003798833769713377,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.h5,spearman,-0.010983396546693688,-0.007807952840160572,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+multitask_noguide+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.h5,mse,0.6157028999346299,0.6157028999346298,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_46+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.h5,mae,0.42107120575954515,0.42107120575954515,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_46+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.h5,jsd,0.09597800064749112,0.06423608018572434,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_46+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.h5,pcc,-0.009193506201990338,0.0110175949615492,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_46+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.h5,spearman,-0.010422191600870542,0.006873616688667383,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_46+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.h5,mse,0.6294531277254242,0.629453127725424,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.h5,mae,0.4231127553191344,0.4231127553191343,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.h5,jsd,0.09898645855724358,0.06220699503779601,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.h5,pcc,0.002727413403451093,0.007713986605176396,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.h5,spearman,0.012238481527127794,0.015058722653797126,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_44+multitask+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+val.h5,mse,0.5921364383155607,0.5921364383155605,seed_42,42,focus_recon,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+val.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+val.h5,mae,0.4138377535679959,0.41383775356799585,seed_42,42,focus_recon,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+val.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+val.h5,jsd,0.09197531052922735,0.061568709932676026,seed_42,42,focus_recon,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+val.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+val.h5,pcc,0.004200133667609325,-0.005263900202259625,seed_42,42,focus_recon,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+val.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+val.h5,spearman,0.0005627878496945792,-0.0050993671709698134,seed_42,42,focus_recon,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+val.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.h5,mse,0.46999489454218246,0.4699948945421827,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label_on_focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.h5,mae,0.3548808587261102,0.3548808587261101,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label_on_focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.h5,jsd,0.06191695386097007,0.05244897175805618,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label_on_focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.h5,pcc,0.0036657921108699497,-0.0006071737891088527,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label_on_focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.h5,spearman,-0.012375581203780671,0.0017459272989286464,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_label_on_focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.h5,mse,0.6112475155948787,0.6112475155948808,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.h5,mae,0.42162646082160093,0.42162646082160127,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.h5,jsd,0.09426214286492839,0.06322860362279435,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.h5,pcc,0.003432158105814541,0.003076363683241791,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.h5,spearman,0.0001099330151904275,0.005002374077682557,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+trn.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.h5,mse,0.47143090899661194,0.47143090899661216,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.h5,mae,0.3571745430629835,0.3571745430629834,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.h5,jsd,0.06245007818913942,0.05245409507370317,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.h5,pcc,0.003544515192058753,-0.0008573179423668738,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.h5,spearman,-0.00871900217868241,-0.001353740665220105,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_42+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_43+focus_recon+tst.h5,mse,0.6012863934443266,0.6012863934443267,seed_43,43,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_43+focus_recon+tst.h5,mae,0.4079462457823347,0.40794624578233457,seed_43,43,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_43+focus_recon+tst.h5,jsd,0.09372398660303081,0.06261750906310551,seed_43,43,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+focus_recon+tst.h5
DeepTAN,Feature Reconstruction,preds+seed_43+focus_recon+tst.h5,pcc,0.0003523985419994433,-0.03192627853277621,seed_43,43,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_multiome_minmi0.35_top2000/preds+seed_43+focus_recon+tst.h5
