n_feat,trn_grad,trn_data,Method,Capability,fname,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden,seed,seed_num,task,split,path
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Clustering,preds+seed_42+multitask+tst.pkl,0.9823269513991163,0.44082722,0.7020332,-0.00006135906847046818,0.011044618237248307,0.0009751383079170505,-0.00006135906847046818,0.011044618237248307,0.0009751383079170505,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Clustering,preds+seed_46+multitask+tst.pkl,1.0,0.031047285,0.5598019,-0.005380456623732593,0.012096780975036397,0.0009687249472692559,-0.005380456623732593,0.012096780975036397,0.0009687249472692559,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Clustering,preds+seed_44+multitask+tst.pkl,0.9322533136966127,0.42769378,0.6236044,0.0029880783032868396,0.013992021216409987,0.0029405498111589093,0.0029880783032868396,0.013992021216409987,0.0029405498111589093,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Clustering,preds+seed_45+multitask+tst.pkl,0.9867452135493373,0.28618225,0.6717971,-0.003361639892285495,0.007571558030630155,-0.0025565835906635696,-0.003361639892285495,0.007571558030630155,-0.0025565835906635696,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Clustering,preds+seed_43+multitask+tst.pkl,0.9617083946980854,0.40673974,0.56705046,-0.0014299728250062138,0.006157538221263817,-0.003983511942813144,-0.0014299728250062138,0.006157538221263817,-0.003983511942813144,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Clustering,preds+seed_42+multitask+tst.pkl,0.8895434462444771,0.3022729,0.6249983,0.0007426968523574072,0.010049939879803786,-0.0010606128157102078,0.0007426968523574072,0.010049939879803786,-0.0010606128157102078,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Clustering,preds+seed_46+multitask+tst.pkl,0.9631811487481591,0.48895854,0.573947,-0.0017682659629374656,0.00641167211958612,-0.002642587958017732,-0.0017682659629374656,0.00641167211958612,-0.002642587958017732,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Clustering,preds+seed_44+multitask+tst.pkl,0.9543446244477173,0.4486349,0.61134624,0.0009140940218459589,0.007801187817467509,-0.001236018086809618,0.0009140940218459589,0.007801187817467509,-0.001236018086809618,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_44+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Clustering,preds+seed_45+multitask+tst.pkl,0.9941089837997055,0.4930357,0.61493754,-0.0001037755760496746,0.009602664030901605,-0.001493180874915164,-0.0001037755760496746,0.009602664030901605,-0.001493180874915164,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_45+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Clustering,preds+seed_43+multitask+tst.pkl,0.9617083946980854,0.40783298,0.6022202,-0.0012979013003626071,0.007999332199884891,-0.0021296764670595534,-0.0012979013003626071,0.007999332199884891,-0.0021296764670595534,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_43+multitask+tst.pkl
400,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Clustering,preds+seed_42+multitask+tst.pkl,0.9882179675994109,0.26232547,0.6730106,0.0005587485508599569,0.008482812320620734,-0.001647170837844448,0.0005587485508599569,0.008482812320620734,-0.001647170837844448,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_400/preds+seed_42+multitask+tst.pkl
400,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Clustering,preds+seed_46+multitask+tst.pkl,0.9617083946980854,0.25219807,0.61464775,-0.00021117802352967475,0.015068233527264144,0.005025801129305792,-0.00021117802352967475,0.015068233527264144,0.005025801129305792,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_400/preds+seed_46+multitask+tst.pkl
400,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Clustering,preds+seed_44+multitask+tst.pkl,0.9896907216494846,0.31307524,0.51058304,0.0031458659890997846,0.00690521214147866,-0.002214048431706864,0.0031458659890997846,0.00690521214147866,-0.002214048431706864,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_400/preds+seed_44+multitask+tst.pkl
400,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Clustering,preds+seed_45+multitask+tst.pkl,0.96759941089838,0.3144928,0.5702458,-0.006700012355514457,0.01161029012468083,0.0014812651664619387,-0.006700012355514457,0.01161029012468083,0.0014812651664619387,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_400/preds+seed_45+multitask+tst.pkl
