n_feat,trn_grad,trn_data,Method,Capability,fname,metric,sample_mean,feature_mean,seed,seed_num,task,split,path
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mse,0.1465325281430146,0.14653252814301448,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mae,0.24762052882968794,0.247620528829688,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,jsd,0.03287479958368526,0.019455802221390036,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,pcc,0.001413996353999484,0.005784355360151924,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,spearman,0.0038992333865202045,0.004074709670614114,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_42+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mse,0.19427791517311355,0.19427791517311307,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mae,0.33024218213216383,0.3302421821321639,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,jsd,0.033944011529899745,0.017736801444004233,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,pcc,-0.0031011873286513206,0.0026949144769852595,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,spearman,-0.0006990388337300502,0.0020084920987131043,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_46+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,mse,0.12442957411574056,0.1244295741157405,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,mae,0.2232305835570859,0.22323058355708594,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,jsd,0.0317017799873237,0.014953996984708133,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,pcc,-0.00661209453830666,-0.002737095247502655,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,spearman,-0.011706627221737712,-0.000540418011699839,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_44+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,mse,0.15324808302126383,0.15324808302126383,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,mae,0.25245625572006886,0.2524562557200689,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,jsd,0.029892476491020052,0.01943922886805219,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,pcc,-0.012153252093773012,0.020383845402551597,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,spearman,-0.009467123025980337,0.0168105117426528,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_45+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_43+multitask+tst.pkl,mse,0.13433667149020503,0.13433667149020498,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_43+multitask+tst.pkl,mae,0.22404147192192522,0.22404147192192528,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_43+multitask+tst.pkl,jsd,0.03307157279229858,0.015999615357118264,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_43+multitask+tst.pkl,pcc,0.002186158343175231,0.005354757840803651,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
800,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Feature Reconstruction,preds+seed_43+multitask+tst.pkl,spearman,0.006662566772061717,0.003833886351650895,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_800/preds+seed_43+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mse,0.10713747212907095,0.10713747212907095,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mae,0.23704783386942624,0.23704783386942635,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,jsd,0.030575587783371227,0.015564510645670444,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,pcc,0.00036651787319415437,0.016339294176872365,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,spearman,-0.003187950829161065,0.01383935792547033,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_42+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mse,0.14527177312522938,0.14527177312522932,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mae,0.21802087399168976,0.21802087399168982,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,jsd,0.03498960735086067,0.0175556036054157,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,pcc,-0.004733973256802894,-0.009222914790714918,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,spearman,-0.0028579638281724874,-0.003275367064936253,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_46+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,mse,0.1323889998063141,0.13238899980631408,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_44+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,mae,0.2421803783595524,0.24218037835955245,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_44+multitask+tst.pkl
1200,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,jsd,0.03215958561933677,0.014705224670334244,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1200/preds+seed_44+multitask+tst.pkl
