Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
DeepTAN,Labelling,preds+seed_42+focus_label+val.pkl,0.1175220681976915,0.07767338781079124,0.08970588235294118,0.517344059431722,0.5514736681656538,0.08970588235294118,0.5410287593596297,0.08970588235294118,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+val.pkl
DeepTAN,Labelling,preds+seed_43+multitask_noguide+tst.pkl,0.44750138593847427,0.2643356399441592,0.41384388807069217,0.5460927448551779,0.5707296765908564,0.41384388807069217,0.5652587297387025,0.41384388807069217,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+multitask_noguide+tst.pkl
DeepTAN,Labelling,preds+seed_42+focus_label_on_focus_recon+tst.pkl,0.48422938966425033,0.2415765444480248,0.44329896907216493,0.5192893964711891,0.552434373114976,0.44329896907216493,0.5503199404356267,0.44329896907216493,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label_on_focus_recon+tst.pkl
DeepTAN,Labelling,preds+seed_42+multitask+val.pkl,0.5376396642775745,0.2854212381984344,0.5117647058823529,0.5283621119190585,0.555883368423109,0.5117647058823529,0.5774107038594519,0.5117647058823529,seed_42,42,multitask,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+val.pkl
DeepTAN,Labelling,preds+seed_42+focus_label+tst.pkl,0.12666417088519202,0.07542196021395012,0.08689248895434462,0.4804576714482547,0.5385805891543474,0.08689248895434462,0.5463175385622533,0.08689248895434462,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+tst.pkl
DeepTAN,Labelling,preds+seed_42+multitask_noguide+tst.pkl,0.020585354516327176,0.0499194847020934,0.09131075110456553,0.5082991739319322,0.5583938189782865,0.09131075110456553,0.011600276909835913,0.09131075110456553,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+tst.pkl
DeepTAN,Labelling,preds+seed_42+focus_recon+tst.pkl,0.05894010363547559,0.06302414231257941,0.18262150220913106,0.4994396450370326,0.5437543033242641,0.18262150220913106,0.03514080421296916,0.18262150220913106,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+tst.pkl
DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.49390430331351276,0.23000356644943748,0.4698085419734904,0.4744032958627619,0.5244829660145621,0.4698085419734904,0.5249190591028094,0.4698085419734904,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+tst.pkl
DeepTAN,Labelling,preds+seed_42+multitask+trn.pkl,0.5268561052356288,0.25579406777563907,0.5098363669792241,0.5121424539999585,0.5492878727166769,0.5098363669792241,0.549241383168244,0.5098363669792241,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+trn.pkl
DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.5884288792978043,0.2766023391023391,0.605301914580265,0.5233310211904636,0.5558054223858564,0.605301914580265,0.5875615045681676,0.605301914580265,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_46+multitask+tst.pkl
