Method,Capability,fname,metric,sample_mean,feature_mean,seed,seed_num,task,split,path
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+val.pkl,mse,0.11997690134527082,0.11997690134527064,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+val.pkl,mae,0.2952531725640161,0.2952531725640162,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+val.pkl,jsd,0.024185245553235833,0.013748992686263886,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+val.pkl,pcc,-0.0074921172176367345,-0.00019427357918650362,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+val.pkl,spearman,-0.0065669846007486475,0.008565516651145492,seed_42,42,focus_label,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+multitask_noguide+tst.pkl,mse,0.1603364873196577,0.16033648731965747,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+multitask_noguide+tst.pkl,mae,0.3081652764637952,0.3081652764637952,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+multitask_noguide+tst.pkl,jsd,0.01968922821567114,0.018548225875454356,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+multitask_noguide+tst.pkl,pcc,0.31747415617415764,0.0009343857678850737,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+multitask_noguide+tst.pkl,spearman,0.16730756941393268,0.003460052896064212,seed_43,43,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.pkl,mse,0.23088178149930166,0.2308817814993016,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label_on_focus_recon+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label_on_focus_recon+tst.pkl,mae,0.35172851256820137,0.3517285125682014,seed_42,42,focus_label_on_focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label_on_focus_recon+tst.pkl
